Dataset,Fold,Variant,Training_MMRE,Input,Output,Inquiry,File,FPAdj,RawFPcounts,AdjFP,AFP,Enquiry,Interface,Added,Changed,Deleted,Resource,Duration,AdjFactor,rely,data,cplx,time,stor,virt,turn,acap,aexp,pcap,vexp,lexp,modp,tool,sced,loc,TeamExp,ManagerExp,YearEnd,Length,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust,Language,Hardware,KSLOC,RAWFP,Actual.duration,Adjusted.function.points,First.estimate,Syear,App,Har,Dba,Ifc,Source,Telonuse,Nlan,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,Size,Time,KLOC,SCRN,FORM,FILE,ESCRN,EFORM,EFILE,TotalUFP,ExternalInterface,ExternalQueries,ExternalInputs,InternalLogicalFiles,ExternalOutputs,COSMIC_FP,HH_CFP
China,1,FAABE_FULL,1.1578092575073242,0.0,0.23100970685482025,,0.05583710968494415,,,,0.153043732047081,0.07312989234924316,0.17873142659664154,0.08909520506858826,,,,0.07277578115463257,0.14637717604637146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,2,ABE_BASE,,0.0833333358168602,0.0833333358168602,,0.0833333358168602,,,,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,2,FAABE_NO_FIREFLY,,0.1111111119389534,0.1111111119389534,,0.1111111119389534,,,,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,,,,0.1111111119389534,0.1111111119389534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,2,FAABE_NO_PEARSON,1.180120587348938,0.0,0.0,,0.0,,,,0.08152773231267929,0.10217779129743576,0.17598414421081543,0.07212524861097336,0.2018359750509262,0.2247224748134613,0.0,0.10245101153850555,0.03917564079165459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,2,FAABE_NO_IWM,1.1944435834884644,0.17122097313404083,0.06312475353479385,,0.15078406035900116,,,,0.0,0.02862202376127243,0.1953381448984146,0.01331350114196539,,,,0.05238565057516098,0.3252108693122864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,2,FAABE_FULL,1.2157162427902222,0.10367807000875473,0.10075713694095612,,0.11395879089832306,,,,0.0,0.05991530790925026,0.03271905332803726,0.4494251012802124,,,,0.04670692980289459,0.09283963590860367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,3,ABE_BASE,,0.0833333358168602,0.0833333358168602,,0.0833333358168602,,,,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,3,FAABE_NO_FIREFLY,,0.1111111119389534,0.1111111119389534,,0.1111111119389534,,,,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,,,,0.1111111119389534,0.1111111119389534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,3,FAABE_NO_PEARSON,1.1897305250167847,0.1372610181570053,0.0,,0.18839392066001892,,,,0.009776615537703037,0.020385412499308586,0.0,0.15916314721107483,0.27400872111320496,0.02181987464427948,0.0,0.10514373332262039,0.08404752612113953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,3,FAABE_NO_IWM,1.2097793817520142,0.03859470784664154,0.08153889328241348,,0.23091718554496765,,,,0.15088382363319397,0.04601985588669777,0.1928303837776184,0.016680439934134483,,,,0.12887875735759735,0.11365598440170288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,3,FAABE_FULL,1.2115581035614014,0.05249827355146408,0.0,,0.12079712003469467,,,,0.08370324224233627,0.08022081106901169,0.2717967927455902,0.057442717254161835,,,,0.24617423117160797,0.08736687153577805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,4,ABE_BASE,,0.0833333358168602,0.0833333358168602,,0.0833333358168602,,,,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,4,FAABE_NO_FIREFLY,,0.1111111119389534,0.1111111119389534,,0.1111111119389534,,,,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,,,,0.1111111119389534,0.1111111119389534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,4,FAABE_NO_PEARSON,1.1590038537979126,0.02939322032034397,0.02611747570335865,,0.0668775886297226,,,,0.039575982838869095,0.0089037474244833,0.09884512424468994,0.054368212819099426,0.0,0.31671422719955444,0.0,0.09540724009275436,0.26379725337028503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,4,FAABE_NO_IWM,1.1197012662887573,0.10714877396821976,0.04426394775509834,,0.045733705163002014,,,,0.0,0.03527544066309929,0.13268040120601654,0.1567276120185852,,,,0.06946010887622833,0.4087100327014923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
