Dataset,Fold,Method,Training_MMRE,Fitness_Evaluations,AFP,Input,Output,Enquiry,File,Interface,Added,Duration,AdjFactor,Resource
China,8,GWO-ABE,1.1697158813476562,1000,9.667680387792643e-06,0.17019325494766235,0.08425654470920563,0.03648308664560318,0.10281769931316376,0.15790705382823944,0.008093803189694881,0.05794956535100937,0.382289320230484,
China,8,WOA-ABE,1.237683653831482,1000,0.06390064209699631,0.15751215815544128,0.0480901338160038,0.034843750298023224,0.0036949822679162025,0.05877632275223732,0.194231778383255,0.12870952486991882,0.3102407455444336,
China,8,FAABE,1.2445462942123413,1000,0.0,0.08906563371419907,0.058720093220472336,0.057811032980680466,0.0,0.10994299501180649,0.26576924324035645,0.06287777423858643,0.35581323504447937,
China,9,ABE,,0,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,
China,9,GA-ABE,1.2315754890441895,1000,0.04578821361064911,0.017673920840024948,0.1195431724190712,0.0806279256939888,0.03539494052529335,0.2932758033275604,0.2706012427806854,0.05272339656949043,0.08437138050794601,
China,9,PSO-ABE,1.2753520011901855,1000,0.12104794383049011,0.028057580813765526,0.11369860917329788,0.07702814042568207,0.0,0.33591634035110474,0.0749046802520752,0.14887122809886932,0.10047547519207001,
China,9,DE-ABE,1.2932096719741821,1000,0.09010390937328339,0.06604310870170593,0.20382282137870789,0.07081509381532669,0.08345434069633484,0.0801166370511055,0.009290422312915325,0.25009772181510925,0.14625602960586548,
China,9,GWO-ABE,1.2710076570510864,1000,0.03097236342728138,0.059571608901023865,0.15185648202896118,0.067768394947052,0.07266039401292801,0.22670742869377136,0.04705183953046799,0.1994861662387848,0.14392538368701935,
China,9,WOA-ABE,1.3113459348678589,1000,0.144553080201149,0.19881084561347961,0.08959899842739105,0.08149659633636475,0.03322445973753929,0.10557251423597336,0.043687302619218826,0.13763746619224548,0.16541874408721924,
China,9,FAABE,1.280837893486023,1000,0.04715540260076523,0.15464738011360168,0.10227923840284348,0.039274848997592926,0.1297813206911087,0.18003758788108826,0.0,0.08610089123249054,0.2607233226299286,
China,10,ABE,,0,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,
China,10,GA-ABE,1.2612746953964233,1000,0.027544967830181122,0.12813428044319153,0.1222495287656784,0.05997447669506073,0.08133125305175781,0.16546374559402466,0.0,0.21902158856391907,0.1962801218032837,
China,10,PSO-ABE,1.225379228591919,1000,0.00013434373249765486,0.19086576998233795,0.11100585758686066,0.054249752312898636,0.03103036805987358,0.13193285465240479,0.1665496528148651,0.060060031712055206,0.2541714012622833,
China,10,DE-ABE,1.2808489799499512,1000,0.09839093685150146,0.08396009355783463,0.13934624195098877,0.06471823900938034,0.023244231939315796,0.158001109957695,0.009807916358113289,0.22302314639091492,0.19950813055038452,
China,10,GWO-ABE,1.2344393730163574,1000,0.052358195185661316,0.01786782778799534,0.14609716832637787,0.06470131129026413,0.07503315061330795,0.04238399118185043,0.00026202143635600805,0.17523039877414703,0.42606592178344727,
China,10,WOA-ABE,1.25202476978302,1000,0.027017012238502502,0.12999974191188812,0.12217240035533905,0.069326251745224,0.0,0.10347110778093338,0.0,0.1514991819858551,0.3965143859386444,
China,10,FAABE,1.249142050743103,1000,0.0,0.10085486620664597,0.22614650428295135,0.0602148212492466,0.029769444838166237,0.08027799427509308,0.13191135227680206,0.08569381386041641,0.28513118624687195,
