Dataset,Fold,Method,Training_MMRE,Fitness_Evaluations,TotalUFP,ExternalInterface,ExternalQueries,ExternalInputs,InternalLogicalFiles,ExternalOutputs
Subbiah,5,FAABE,1.07142972946167,1000,0.0,0.05043444782495499,0.0,0.09509056061506271,0.0,0.8544749617576599
Subbiah,6,ABE,,0,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,,0.20000000298023224
Subbiah,6,GA-ABE,1.3906439542770386,1000,0.15125593543052673,0.18885010480880737,0.15854057669639587,0.0659007728099823,,0.4354526102542877
Subbiah,6,PSO-ABE,1.4331761598587036,1000,0.0,0.06307873129844666,0.0,0.9369212985038757,,0.0
Subbiah,6,DE-ABE,1.3983097076416016,1000,0.05661195516586304,0.2059345841407776,0.15646983683109283,0.07755480706691742,,0.5034288763999939
Subbiah,6,GWO-ABE,1.4389978647232056,1000,0.002254340099170804,0.06964544206857681,0.0004054601304233074,0.9273544549942017,,0.0003403035516384989
Subbiah,6,WOA-ABE,1.1445118188858032,1000,0.0,0.1360340118408203,0.0,0.027497611939907074,,0.8364683985710144
Subbiah,6,FAABE,1.3534027338027954,1000,0.0,0.33387112617492676,0.06099071726202965,0.08763069659471512,,0.5175074338912964
Subbiah,7,ABE,,0,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
Subbiah,7,GA-ABE,1.5777084827423096,1000,0.17245909571647644,0.15106847882270813,1.9104092643829063e-05,0.11992956697940826,0.1112394630908966,0.44528433680534363
Subbiah,7,PSO-ABE,1.7113662958145142,1000,0.0,0.14700143039226532,0.0,0.1871461421251297,0.4204613268375397,0.2453911155462265
Subbiah,7,DE-ABE,1.561138391494751,1000,0.03999751806259155,0.19179704785346985,0.3768261671066284,0.14608828723430634,0.008931437507271767,0.23635953664779663
Subbiah,7,GWO-ABE,1.2079908847808838,1000,0.0053701759316027164,0.010353672318160534,0.0027330336160957813,0.05514277517795563,0.0008429288864135742,0.9255574345588684
Subbiah,7,WOA-ABE,1.0571335554122925,1000,0.0,0.07828966528177261,0.0020705710630863905,0.0442047156393528,0.0,0.8754350543022156
